round_epochs,val_loss,val_accuracy,loss,accuracy,dropout,final_activation,loss_function,lr,num_Nodes,regularizer
694,1.3891013860702515,0.3739224076271057,1.3377712965011597,0.4067355,1,sigmoid,categorical_crossentropy,0.03,18,None
202,1.4817105531692505,0.2693965435028076,1.464555263519287,0.2750786,1,sigmoid,categorical_crossentropy,0.03,18,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
697,1.3868786096572876,0.37212643027305603,1.3279181718826294,0.41365066,1,sigmoid,categorical_crossentropy,0.03,21,None
205,1.481634497642517,0.2693965435028076,1.4645425081253052,0.2750786,1,sigmoid,categorical_crossentropy,0.03,21,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
537,1.390736699104309,0.3645833432674408,1.3443915843963623,0.40197575,1,sigmoid,categorical_crossentropy,0.06,9,None
202,1.481044054031372,0.2693965435028076,1.4635924100875854,0.2750786,1,sigmoid,categorical_crossentropy,0.06,9,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
569,1.3867913484573364,0.3742816150188446,1.3361597061157227,0.41014817,1,sigmoid,categorical_crossentropy,0.06,12,None
201,1.4810453653335571,0.2693965435028076,1.463584065437317,0.2750786,1,sigmoid,categorical_crossentropy,0.06,12,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
482,1.3985331058502197,0.3717672526836395,1.3272985219955444,0.41338122,1,sigmoid,categorical_crossentropy,0.06,15,None
202,1.4810552597045898,0.2693965435028076,1.463605284690857,0.2750786,1,sigmoid,categorical_crossentropy,0.06,15,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
429,1.3948086500167847,0.3674568831920624,1.3349156379699707,0.4079928,1,sigmoid,categorical_crossentropy,0.06,18,None
202,1.4810705184936523,0.2693965435028076,1.463618516921997,0.2750786,1,sigmoid,categorical_crossentropy,0.06,18,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
497,1.405463695526123,0.3631465435028076,1.315511703491211,0.41392007,1,sigmoid,categorical_crossentropy,0.06,21,None
205,1.481002926826477,0.2693965435028076,1.4636268615722656,0.2750786,1,sigmoid,categorical_crossentropy,0.06,21,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
465,1.3926899433135986,0.38146552443504333,1.3500871658325195,0.39263582,1,sigmoid,categorical_crossentropy,0.1,9,None
169,1.481119155883789,0.2693965435028076,1.4635316133499146,0.2750786,1,sigmoid,categorical_crossentropy,0.1,9,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
123,1.4811471700668335,0.2693965435028076,1.4634774923324585,0.2750786,1,sigmoid,categorical_crossentropy,0.1,12,None
176,1.4810844659805298,0.2693965435028076,1.463539719581604,0.2750786,1,sigmoid,categorical_crossentropy,0.1,12,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
123,1.4811493158340454,0.2693965435028076,1.4634900093078613,0.2750786,1,sigmoid,categorical_crossentropy,0.1,15,None
